level,tag,count
sec,table-wrap-group,130
sec,lpage,86
sec,{http://www.w3.org/1998/Math/MathML}mphantom,54
sec,fig-group,134
sec,{http://www.w3.org/1998/Math/MathML}menclose,49
sec,mixed-citation,25
sec,string-name,7
sec,preformat,123
sec,tfoot,258
sec,related-object,12
sec,speech,98
sec,speaker,98
sec,{http://www.niso.org/schemas/ali/1.0/}free_to_read,153
sec,{http://www.niso.org/schemas/ali/1.0/}license_ref,161
sec,milestone-start,12
sec,milestone-end,12
sec,roman,78
sec,target,7
sec,notes,56
sec,abstract,38
sec,grant-sponsor,36
sec,grant-num,21
sec,chem-struct,44
sec,publisher-loc,22
sec,publisher-name,27
sec,comment,28
sec,related-article,24
sec,elocation-id,3
sec,suffix,12
sec,edition,9
sec,part-title,1
sec,abbrev,28
sec,sec-meta,16
sec,kwd-group,13
sec,kwd,13
sec,contrib-group,3
sec,contrib,3
sec,degrees,1
sec,aff,3
sec,month,4
sec,date-in-citation,8
sec,day,3
sec,term-head,27
sec,code,25
sec,{http://www.w3.org/1998/Math/MathML}merror,5
sec,conf-name,3
sec,conf-date,2
sec,conf-loc,2
sec,note,1
sec,chem-struct-wrap,7
sec,{http://www.w3.org/1998/Math/MathML}maction,1
sec,glossary,2
sec,block-alternatives,5
sec,verse-group,4
sec,verse-line,4
sec,textual-form,1
sec,chapter-title,2
sec,ack,1
back,back,418287
back,ack,298488
back,title,398873
back,p,388671
back,ref-list,418061
back,ref,418060
back,label,348173
back,element-citation,238574
back,person-group,328356
back,name,375705
back,surname,413321
back,given-names,413292
back,article-title,414777
back,source,417378
back,year,417445
back,volume,417106
back,fpage,416529
back,lpage,412238
back,pub-id,416690
back,etal,301192
back,glossary,56203
back,def-list,53046
back,def-item,53046
back,term,53046
back,def,53040
back,sec,165553
back,mixed-citation,242380
back,suffix,87045
back,ext-link,174392
back,issue,201980
back,bold,171347
back,collab,132095
back,publisher-name,161871
back,comment,108857
back,fn-group,204047
back,fn,204955
back,supplementary-material,62557
back,media,69010
back,caption,70161
back,page-range,7498
back,elocation-id,65630
back,italic,165259
back,sup,41720
back,publisher-loc,136001
back,chapter-title,21171
back,edition,44827
back,funding-source,13075
back,institution-wrap,5720
back,institution-id,5673
back,institution,6309
back,citation,6968
back,string-name,39648
back,notes,115769
back,app-group,36127
back,app,35238
back,sub,23109
back,award-id,2857
back,array,4902
back,tbody,10709
back,tr,10721
back,td,10720
back,date-in-citation,28305
back,fig,5560
back,graphic,6553
back,table-wrap,6489
back,table,6101
back,thead,5623
back,table-wrap-foot,3341
back,underline,1452
back,month,17314
back,day,14145
back,part-title,8547
back,supplement,1626
back,xref,31333
back,conf-name,7425
back,conf-date,11718
back,conf-loc,12111
back,inline-graphic,3706
back,inline-formula,1729
back,alternatives,730
back,{http://www.w3.org/1998/Math/MathML}math,1893
back,{http://www.w3.org/1998/Math/MathML}mi,1691
back,object-id,11652
back,uri,32449
back,x,1062
back,series,3648
back,role,3209
back,tex-math,552
back,season,1235
back,alt-text,4482
back,sc,3303
back,email,1791
back,isbn,3780
back,size,1355
back,list,5634
back,list-item,5634
back,colgroup,323
back,col,593
back,th,4910
back,break,1666
back,styled-content,118
back,bio,2407
back,issn,400
back,data-title,1308
back,patent,1136
back,monospace,120
back,{http://www.w3.org/1998/Math/MathML}msubsup,636
back,{http://www.w3.org/1998/Math/MathML}mo,1475
back,{http://www.w3.org/1998/Math/MathML}mfrac,710
back,{http://www.w3.org/1998/Math/MathML}mfenced,373
back,{http://www.w3.org/1998/Math/MathML}mrow,1665
back,{http://www.w3.org/1998/Math/MathML}msub,1188
back,disp-formula,820
back,{http://www.w3.org/1998/Math/MathML}mtable,418
back,{http://www.w3.org/1998/Math/MathML}mtr,418
back,{http://www.w3.org/1998/Math/MathML}mtd,418
back,{http://www.w3.org/1998/Math/MathML}mn,1349
back,{http://www.w3.org/1998/Math/MathML}mspace,375
back,{http://www.w3.org/1998/Math/MathML}msup,829
back,issue-id,278
back,{http://www.w3.org/1998/Math/MathML}mover,517
back,{http://www.w3.org/1998/Math/MathML}mtext,606
back,issue-part,845
back,hr,721
back,citation-alternatives,166
back,prefix,570
back,related-object,214
back,boxed-text,842
back,city,30
back,note,600
back,version,388
back,inline-supplementary-material,205
